Year,Match,Innings,NO,Runs,HS,AVG,SR,100,50,0,4s,6s
2007,7,7,0,68,32,9.71,72.34,0,0,0,9,0
2008,2,2,0,48,25,24,117.07,0,0,0,8,0
2009,3,3,0,44,22,14.66,100,0,0,0,6,0
2010,2,2,0,33,19,16.5,122.22,0,0,0,6,0
2011,1,1,0,11,11,11,78.57,0,0,0,2,0
2012,9,9,2,327,88,46.71,119.34,0,3,2,33,5
2013,2,2,0,45,43,22.5,140.62,0,0,0,6,1
2014,10,10,1,126,30,14,93.33,0,0,1,15,1
2015,5,5,0,84,31,16.8,112,0,0,0,8,3
2016,11,11,2,368,103,40.88,135.79,1,1,0,32,17
2017,7,7,0,103,24,14.71,122.61,0,0,1,14,2
2018,16,16,0,356,74,22.25,121.91,0,2,2,35,12
2020,3,3,0,145,65,48.33,120.83,0,1,0,14,4
